id,sentence,intent,slots,action
9543,tune in to ryan seacrest on the living room radio,play_radio,"['radio_name:ryan seacrest','house_place : living room']",radio
16835,send the email to this new email address,email_sendemail,['to_person:this new email address'],sendemail
6076,can you find out the latest world news from yesterday,news_query,"['news_topic : world news', 'date :from yesterday']",query
16203,do i have any new inbox message,email_query,"['email_folder : inbox','descriptor:new']",query
5129,play playlist one,play_music,['playlist_name : playlist one'],music
12195,give me the update on traffic at new york,transport_traffic,['place_name : new york'],traffic
1335,i like justin beibers music please play it,play_music,['artist_name : justin beibers'],music
16,olly dim the lights in the hall,iot_hue_lightdim,['house_place : hall'],hue_lightdim
11471,start this week for dinner podcast,play_podcasts,['podcast_name : this week for dinner'],podcasts
2896,turn off smart lamp in den,iot_hue_lightoff,"['device_type : smart lamp', 'house_place : den']",hue_lightoff
9377,turn on channel bbc radio one please,play_radio,['radio_name : bbc radio one'],radio
9337,play sirius on satellite radio,play_radio,['radio_name : sirius on satellite radio'],radio
14353,what is the size of a small cub,qa_factoid,['content:the size of a small cub'],factoid
1453,change the alarm weekly settings,alarm_change,['descriptor:weekly'],change
324,tell me the news in technology from engadget,news_query,"['news_topic : technology', 'media_type : engadget']",query
2920,are there any status updates on cnn news facebook page,social_query,"['business_name : cnn', 'media_type : facebook']",query
4977,what day of the week is the twenty sixth,datetime_query,['date : the twenty sixth'],query
9862,start my bible study book again,play_audiobook,['audiobook_name : my bible study book'],audiobook
6715,delete the richard's wedding event next year,calendar_remove,"[""event_name : richard's wedding"", 'date : next year']",remove
2025,please make coffee according to my earlier preference,iot_coffee,['setting:earlier preference'],coffee
652,control lights turn off room lights,iot_hue_lightoff,['house_place : room'],hue_lightoff
558,do i have any alarms set for tomorrow,alarm_query,['date : tomorrow'],query
17162,any new email,email_query,['descriptor:new'],query
15357,tweet apple that the iphone doesn't work,social_post,"['media_type : twitter', 'business_name : apple','content:the iphone doesn't work']",post
4029,play nineties alternative,play_music,['music_genre : nineties alternative'],music
8969,cancel future event from place i worked,calendar_remove,"['time : future','event_name: event from place I worked']",remove
15780,email to caroline how are you can you send me updates on last project cheers tomasz,email_sendemail,"['to_person : caroline','content:how are you can you send me updates on last project cheers tomasz']",sendemail
4389,could you change the volume,audio_volume_other,[],volume_other
11192,please remove dallas from my travel itinerary,lists_remove,"['list_name : travel itinerary','item_name:dallas']",remove
14209,how old was elvis when he died,qa_factoid,['content:how old was elvis when he died'],factoid
6415,my upcoming events,calendar_query,['descriptor:upcoming'],query
349,will there be snow tomorrow,weather_query,"['weather_descriptor : snow', 'date : tomorrow']",query
2698,order two cheeseburgers from wings n. ale on university drive,takeaway_order,"['food_type : cheeseburgers', 'count:two','business_name : wings n. ale','place_name:university drive']",order
12157,get me a train ticket to go to,transport_ticket,['transport_type : train'],ticket
9418,listen to npr radio,play_radio,['radio_name : npr'],radio
7429,meeting next week monday,calendar_set,"['event_name : meeting', 'date : next week monday']",set
14760,what is the definition for the word pontificate,qa_definition,['definition_word : pontificate'],definition
16860,i emailed conrad a week ago please remind me what i wrote,email_query,"['to_person : conrad', 'date : a week ago']",query
7081,please set a reminder for my five pm meeting today,calendar_set,"['time : five pm', 'event_name : meeting', 'date : today']",set
4629,play some classic rock before i lose my mind,play_music,['music_genre : classic rock'],music
6299,olly i am tired,general_quirky,['content:i am tired'],quirky
2061,please play jazz music,play_music,['music_genre : jazz'],music
1952,what is the time in perth,datetime_query,['place_name : perth'],query
3256,give me the most recent stuff you have angelina jolie,general_quirky,['content : give me the most recent stuff you have angelina jolie'],quirky
15088,what is exchange for the us and euro,qa_currency,"['currency_name : us', 'currency_name : euro']",currency
7625,set a reminder alert for saturday nine am towards payment of electricity bill,calendar_set,"['date : saturday', 'time : nine am', 'event_name : payment of electricity bill']",set
3238,turn off lights in my room,iot_hue_lightoff,['house_place : my room'],hue_lightoff
16157,do i have the reply from charlotte relating to yesterdays enquiry,email_query,"['from_person : charlotte', 'date : from yesterday']",query
8700,inform me about meetings,calendar_query,['event_name : meetings'],query
876,play kari jobe for me,play_music,['artist_name : kari jobe'],music
11395,jump to the next podcast,play_podcasts,['player_setting:next'],podcasts
276,who covered the song one more cup of coffee,general_quirky,['content:who covered the song one more cup of coffee'],quirky
13674,show me the stock price for google,qa_stock,['business_name : google'],stock
13711,how high is pikes peak,qa_factoid,['content:how high is pikes peak'],factoid
3290,schedule a delivery from food at the nearby takeaway diner,takeaway_order,"['meal_type : diner','place_name:nearby']",order
4969,tell me about martin luther king jr,qa_factoid,['content : martin luther king jr'],factoid
9894,resume playing you are joking mr feynman,play_audiobook,"['player_setting : resume', 'audiobook_name : you are joking mr feynman']",audiobook
2760,start playing music,play_music,[],music
7575,repeat birthday,calendar_set,['event_name : birthday'],set
13731,what is sean connery's birthday,qa_factoid,"[""content : sean connery's birthday""]",factoid
14869,how does it look like,general_quirky,['content:how does it look like'],quirky
13203,how crowded is los angeles,qa_factoid,['content : how crowded is los angeles'],factoid
16380,let me know if there are any new emails from callum,email_query,"['from_person : callum','descriptor:new']",query
9166,set a reminder for my meeting today,calendar_set,"['event_name : meeting', 'date : today']",set
7602,set reminder for date night with husband next friday,calendar_set,"['event_name : date night','relation: husband', 'date :next friday']",set
6893,how long it's take,general_quirky,['content:how long it's take'],quirky
6982,tell me about the latest events going around my city,recommendation_events,"['place_name : my city','descriptor:latest']",events
5394,turn socket off,iot_wemo_off,[],wemo_off
13778,what is a monitor,qa_definition,['definition_word : monitor'],definition
7483,set up a daily reminder for me,alarm_set,['general_frequency : daily'],set
10809,delete last entry,lists_remove,['descriptor:last entry'],remove
9766,play audiobook of jacob,play_audiobook,['audiobook_name : jacob'],audiobook
3247,cancel all alarms,alarm_remove,['descriptor:all'],remove
6359,what fun things are there to do in this area,recommendation_events,['place_name:this area'],events
9056,alexa make an event reminder for a meeting with mona on tuesday,calendar_set,"['event_name : meeting','person: mona', 'date : tuesday']",set
4219,do i need a coat outside right now,weather_query,['weather_descriptor : coat'],query
16972,can you message back jean via email,email_sendemail,['to_person : jean'],sendemail
15923,check emails from gary for last hour,email_query,"['from_person : gary', 'time : last hour']",query
8708,check calendar for events,calendar_query,[],query
8076,is today when my paper is due,calendar_query,"['date:today','event:my paper due']",query
4151,what is the day today,datetime_query,['date : today'],query
7903,set a reminder for a meeting at two pm tomorrow between myself and john,calendar_set,"['event_name : meeting', 'person: john', 'time : two pm', 'date : tomorrow']",set
14821,compare more of countries,general_quirky,['content:compare more of countries'],quirky
9409,play radio music,play_radio,['radio_name:music'],radio
11738,show timings,datetime_query,[],query
8167,put on my calendar meeting with ms boland on wednesday eight hundred am,calendar_set,"['event_name : meeting','person: ms boland', 'date : wednesday', 'time : eight hundred am']",set
16199,send email to jim's work email,email_sendemail,"[""to_person : jim"", 'personal_info : work email']",sendemail
10680,tell me what is my to do list for today,lists_query,"['list_name : to do', 'date : today']",query
8050,add event to calendar,calendar_set,[],set
16411,pull up all emails from my friend cat vonstaragrabber,email_query,['from_person : cat vonstaragrabber'],query
15848,email my mother,email_sendemail,['to_relation : mother'],sendemail
10553,olly what do i need to get done today,lists_query,"['list_name : get done', 'date : today']",query
13103,what does one plus,qa_maths,['content:what does one plus'],maths
8720,add girls night out to my calendar,calendar_set,['event_name : girls night out'],set
4343,raise the volume of the speakers to fifty five percent,audio_volume_up,"['device_type:speaker','change_to : fifty five percent']",volume_up
12766,what time is the train passing by,transport_query,"['transport_type : train','descriptor:passing by']",query
1632,the volume of the music playing now should be raised,audio_volume_up,[],volume_up
3655,can you tell me more about my most played music,music_query,['descriptor:most played'],query
13201,how many people live in los angeles,qa_factoid,['content:how many people live in los angeles'],factoid
2307,i cup of joe would be nice right now,iot_coffee,[],coffee
9302,search next station,play_radio,['radio_name : next station'],radio
3122,what should i wear is it cold outside,weather_query,['weather_descriptor : cold'],query
11926,i'm looking for reasonably priced tapas in miami beach,recommendation_locations,"['food_type : tapas', 'place_name : miami beach','price:reasonably']",locations
828,play newest bob dylan playlist,play_music,"['playlist_name : bob dylan','descriptor:newest']",music
9158,create an event in my calendar,calendar_set,[],set
10807,olly delete last item listed,lists_remove,['descriptor:last item'],remove
15291,send a tweet,social_post,['media_type : twitter'],post
13301,help me get to sleep,play_music,['music_tag:help sleep'],music
10144,how long do i chill an icebo pie,cooking_recipe,['food_type: an icebo pie'],recipe
5112,do i need a raincoat day after,weather_query,"['weather_descriptor : raincoat', 'date : day after']",query
5419,please turn off wemo socket,iot_wemo_off,['device_type : wemo socket'],wemo_off
14579,stock price for gss energy,qa_stock,['business_name : gss energy'],stock
16105,search the contact,email_querycontact,[],querycontact
14328,where can i find japan,qa_factoid,['content:where can i find japan'],factoid
9031,remove my office meeting event for next week,calendar_remove,"['event_name : office meeting', 'date : next week']",remove
5467,is there a need for sun glasses,weather_query,['weather_descriptor : sun glasses'],query
3478,play latest country music releases,play_music,"['music_genre : country','descriptor:latest']",music
11001,create a new list for me,lists_createoradd,[],createoradd
7403,add new year with family next week,calendar_set,"['event_name : new year','relation: family', 'date : next week']",set
9901,find me an audio book version of ready player one and play it for me,play_audiobook,['audiobook_name : ready player one'],audiobook
4720,is the weekend going to be nice,weather_query,"['date : weekend', 'weather_descriptor : nice']",query
8309,how many people were at the protest in times square yesterday at noon,news_query,"['news_topic:protest in times square', 'date : yesterday', 'timeofday : noon']",query
12204,could you please hire me a taxi to go to the opera tonight,transport_taxi,"['transport_type : taxi', 'place_name : opera', 'timeofday : tonight']",taxi
12954,what an umbrella means,qa_definition,['definition_word : umbrella'],definition
11320,start the next episode in a podcast,play_podcasts,['podcast_descriptor : next episode'],podcasts
5553,reviews of the restaurants,takeaway_query,"['business_type : restaurants','query:reviews']",query
6461,i want topics on music,general_quirky,['content:i want topics on music'],quirky
842,schedule pizza takeout for seven pm,takeaway_order,"['food_type : pizza', 'time : seven pm']",order
1604,what time is the alarm set for tomorrow morning,alarm_query,"['date : tomorrow', 'timeofday : morning']",query
10231,what are examples of spicy cuisines,cooking_recipe,['food_type:spicy cuisines'],recipe
2778,is it colder than yesterday,weather_query,"['date : today','weather_descriptor : colder']",query
6106,play maroon five moves like jagger,play_music,"['artist_name : maroon five', 'song_name : moves like jagger']",music
13876,how old is barack obaba,qa_factoid,['content : how old is barack obaba'],factoid
6474,what's the weather,weather_query,[],query
8629,remind me at the start of each month,calendar_set,"['general_frequency : each month','day:start of each month']",set
8010,update my calendar and delete next event,calendar_remove,['descriptor:next'],remove
2516,how is the weather looking for this week,weather_query,['date : this week'],query
795,what time is the alarm set for tomorrow,alarm_query,['date : tomorrow'],query
16919,is there any email with subject,email_query,['descriptor:with subject'],query
14409,what is us dollar today,qa_currency,"['currency_name : us dollar', 'date : today']",currency
12733,where is the nearest train to me,transport_query,"['transport_type : train','descriptor:nearest']",query
11578,find events near by,recommendation_events,['place_name:near by'],events
10669,any sport event is on my list,lists_query,['item_name:sport'],query
3083,please change the color of my lights surprise me,iot_hue_lightcolor,['descriptor:surprise'],hue_lightchange
9829,audio,play_audiobook,[],audiobook
3294,what is the time difference between central and eastern,datetime_convert,"['time_zone : central', 'time_zone : eastern']",convert
14907,how far above sea level is denver,qa_factoid,['content:how far above sea level is denver'],factoid
1875,play sixty,play_music,['song_name : sixty'],music
9105,please clear my calendar of all events,calendar_remove,['descriptor:all'],remove
12622,what times does the train run on sundays in beaumont tx,transport_query,"['transport_type : train', 'date : sunday', 'place_name : beaumont tx']",query
4830,can i get the food to go,takeaway_query,['order_type : to go'],query
3070,please mute the sound,audio_volume_mute,[],volume_mute
2244,can you turn off kitchen light for me,iot_hue_lightoff,['house_place : kitchen'],hue_lightoff
11408,please start the next podcast episode,play_podcasts,['player_setting : next episode'],podcasts
16197,what is jeff's number,email_querycontact,"[""person : jeff"", 'personal_info : number']",querycontact
12288,system pull any traffic news for my commute,transport_traffic,['place_name:my commute'],traffic
529,by switch off,iot_hue_lightoff,[],hue_lightoff
9721,resume harry potter book five,play_audiobook,"['player_setting : resume', 'audiobook_name : harry potter book five']",audiobook
13232,how old is brad pitt,qa_factoid,['content:how old is brad pitt'],factoid
13832,what is the current exchange rate of euro to dollar,qa_currency,"['currency_name : euro', 'currency_name : dollar']",currency
13086,how to spell the word treble,qa_factoid,['content :spell the word treble'],factoid
788,what is the temperature right now,weather_query,['weather_descriptor : temperature'],query
11344,take me to the next episode if her story,play_podcasts,"['player_setting : next episode', 'podcast_name : her story']",podcasts
15474,send a message to national grid that the power is out again,social_post,"['business_name : national grid','content:the power is out again']",post
8532,get local events,recommendation_events,['place_name:local'],events
4036,light green,iot_hue_lightcolor,['color_type : green'],hue_lightchange
13612,what year did michael jackson die,qa_factoid,['content:what year did michael jackson die'],factoid
7864,can you let me know when it's two hundred,alarm_set,['time : two hundred'],set
4327,is it too cold to go swimming,weather_query,['weather_descriptor : cold to swimming'],query
5994,do you think it's going to rain tomorrow,weather_query,"['weather_descriptor : rain', 'date : tomorrow']",query
908,please set the vacuum to start going now,iot_cleaning,['device_type : vacuum'],cleaning
8386,remind me at eight pm to do laundry,alarm_set,"['time : eight pm','event_name:do laundry']",set
55,i want some curry to go any recommendations,takeaway_query,['food_type : curry'],query
15122,please order me this months groceries,lists_createoradd,['list_name:groceries'],createoradd
6470,how is my schedule for the day,calendar_query,['day:the day'],query
8792,what are the details of this event,calendar_query,['descriptor:this'],query
2617,please let me know when there is an update to the plane crash story,news_subscription,['news_topic : plane crash story'],subscription
14298,does spain share its border with morrocco,qa_factoid,['content:does spain share its border with morrocco'],factoid
16650,what did ben email me,email_query,['from_person : ben'],query
454,change the lights in the kitchen to blue,iot_hue_lightcolor,"['house_place : kitchen', 'color_type : blue']",hue_lightchange
1344,try to play old nineties classic music,play_music,['music_genre : nineties classic'],music
10142,find the correct temperature for frying a whole turkey,cooking_recipe,['food_type : whole turkey'],recipe
7296,remove my scheduled calendar events if you could,calendar_remove,[],remove
801,mute sound on speakers please,audio_volume_mute,['device_type:speaker'],volume_mute
8725,what date is my anniversary,calendar_query,['event_name : my anniversary'],query
4252,should i carry an umbrella with me today,weather_query,"['weather_descriptor : umbrella', 'date : today']",query
12200,book a train ticket to canada this evening,transport_ticket,"['transport_type : train', 'place_name : canada', 'timeofday : evening']",ticket
2352,modify the light colours of the house and make them dark instead,iot_hue_lightcolor,['color_type : dark'],hue_lightchange
12739,can i get the directions to the nearest bar,transport_query,"['business_type : bar','place_name:nearest']",query
12101,olly search events and meetups for central park west,recommendation_events,"['place_name : central park west','event_name:events and meetups']",events
10818,do i have any lists,lists_query,[],query
10724,please delete this file,lists_remove,['descriptor:this'],remove
10703,create shopping list for target,lists_createoradd,['list_name : shopping list for target'],createoradd
13013,tell me about the latest world scenario on global warming,general_quirky,['content:tell me about the latest world scenario on global warming'],quirky
8172,will you remind me of my next dentist appointment one day before,calendar_set,"['event_name : dentist appointment', 'date : one day before']",set
12357,could you make a train ticket for me,transport_ticket,['transport_type : train'],ticket
1725,what will be the condition of weather next seven days,weather_query,['date : next seven days'],query
9274,play the radio on nine hundred and ninety nine fm only,play_radio,['radio_name : nine hundred and ninety nine fm'],radio
6866,what are next scheduled events,calendar_query,['descriptor:next'],query
2750,i need one cup of coffee,iot_coffee,[],coffee
2581,silent mode,audio_volume_mute,[],volume_mute
16632,will you send an email to this new email address,email_sendemail,['to_person:this new email address'],sendemail
16757,do i have any new email,email_query,['descriptor:new'],query
104,tell me bbc news,news_query,['media_type : bbc'],query
13753,what is the daily price of johnson and johnson stock,qa_stock,['business_name : johnson and johnson'],stock
14660,what is the largest continent in the world,qa_factoid,['content:the largest continent in the world'],factoid
14202,whats the dow jones at today,qa_stock,"['date : today','index_name:dow jones']",stock
6138,do i need to wear boots,weather_query,['weather_descriptor : boots'],query
15139,do i have new likes,social_query,['descriptor:new like'],query
5506,tell me if my alarm is set for the morning,alarm_query,['timeofday : morning'],query
4666,cnn news,news_query,['media_type : cnn'],query
584,is there any chances of rain this week,weather_query,"['weather_descriptor : rain', 'date : this week']",query
13849,can you tell me the exchange rate for canadian currency,qa_currency,['currency_name : canadian'],currency
2938,play my most recent playlist,play_music,"['player_setting:playlist', 'descriptor : most recent']",music
1010,pull up today's news from cnn,news_query,"[""date : today"", 'media_type : cnn']",query
4110,turn my smart plug socket on,iot_wemo_on,['device_type : smart plug socket'],wemo_on
7019,cancel the event valentine's day from the calendar,calendar_remove,"[""event_name : valentine's day""]",remove
8040,can you remind me to something in sometime,calendar_set,[],set
17007,do i have any new emails on my inbox,email_query,"['email_folder : inbox','descriptor:new']",query
8298,where are the boston redso game playing next,general_quirky,['content : where are the boston redso game playing next'],quirky
14521,please describe about microwave,qa_definition,['definition_word : microwave'],definition
8052,when is my husband's birthday this year,calendar_query,"[""event_name : husband's birthday"", 'date : this year']",query
9893,open the two towers,play_audiobook,['audiobook_name : the two towers'],audiobook
824,ok google what is the weather where i am at today,weather_query,['date : today'],query
8334,clear up my calendar,calendar_remove,[],remove
1916,is the coffee ready,iot_coffee,[],coffee
12697,when is the next train arriving to union station from grand central station,transport_query,"['transport_type : train', 'to_place_name : union station', 'from_place_name: grand central station']",query
2570,turn the lights off now,iot_hue_lightoff,[],hue_lightoff
10842,i have my lists right what are they,lists_query,[],query
16347,message my mother in law to book the reservations before friday or they will expire,email_sendemail,"['to_relation : mother in law', 'content:book the reservations before friday or they will expire']",sendemail
13807,how many teeth does ryan reynolds have,qa_factoid,['content:how many teeth does ryan reynolds have'],factoid
7658,alexa what is on my calendar for today,calendar_set,['date : today'],set
3040,trending hot news topics,news_query,['descriptor : trending'],query
6437,today i searched all over for my phone and couldn't find it olly,general_quirky,['content:today i searched all over for my phone and couldn't find it'],quirky
6966,how me all my pending reminders,calendar_query,['descriptor:all'],query
15084,olly find me the perfect girlfriend,general_quirky,['content:find me the perfect girlfriend'],quirky
6849,prompt me about tv programme at sixteen fifteen on thursday at bbc four,calendar_set,"['event_name : tv programme at bbc four', 'time : sixteen fifteen', 'date : Thursday']",set
12825,can you give me the train times to nyc,transport_query,"['transport_type : train', 'to_place_name : nyc']",query
4997,after this song please play this song,play_music,['player_settings:play after this'],music
2142,msn news,news_query,['media_type : msn'],query
5214,should i bring warm clothes,weather_query,['weather_descriptor : warm clothes'],query
2614,is it going to rain on my birthday,weather_query,"['weather_descriptor : rain', 'date : my birthday']",query
2853,go silent for a day,audio_volume_mute,['time : a day'],volume_mute
11960,where can i shop around here,recommendation_locations,['business_type:shop'],locations
15347,is there any new vegan news on facebook,social_query,"['media_type : facebook','content:vegan news']",query
13249,where was the last aerosmith concert,qa_factoid,['content:where was the last aerosmith concert'],factoid
4427,wake me up at nine am,alarm_set,['time : nine am'],set
12506,book a train ticket to oregon,transport_ticket,"['transport_type : train', 'place_name : oregon']",ticket
7765,is there a way to clear my calendar,calendar_remove,[],remove
8646,do i have any reminders that are waiting in my queue,calendar_query,[],query
720,hello,general_greet,[],greet
9533,start playing fm ninety six point five when it is one pm,play_radio,"['radio_name : fm ninety six point five', 'time : one pm']",radio
14768,is the largest ocean in the world the pacific,qa_factoid,['content:is the largest ocean in the world the pacific'],factoid
2592,i've got a meeting by tonight seven pm please mute the music for an hour,audio_volume_mute,"['timeofday : tonight', 'time : seven pm', 'time : an hour']",volume_mute
2289,increase volume by one,audio_volume_up,['change_amount : one'],volume_up
13648,what is the exchange rate between pound sterling and the us dollar,qa_currency,"['currency_name : pound sterling', 'currency_name : us dollar']",currency
3591,olly speak loudly,audio_volume_up,[],volume_up
9338,i want to listen to nine hundred and forty one please,play_radio,['radio_name : nine hundred and forty one'],radio
12043,olly i'm starving what's good to eat in cincinnati,recommendation_locations,"['business_type : restaurant', 'place_name : cincinnati']",locations
1781,may i know the weather there,weather_query,['place_name:there'],query
15787,do i have any email from work,email_query,['from_person:work'],query
8569,i want you to schedule a meeting with bryce jessie and carol for tomorrow at nine am,calendar_set,"['event_name : meeting', 'person: bryce jessie and carol', 'date : tomorrow', 'time : nine am']",set
8346,remind yourself to remind me about needed to be reminded about that meeting,calendar_set,['event_name : that meeting'],set
9701,i want to hear the book written by the mother of the shooter at columbine,play_audiobook,['author_name:the mother of the shooter at columbine'],audiobook
16046,please show new emails,email_query,['descriptor:new'],query
9739,i want you to play my michael jackson favorite song,play_music,['artist_name : michael jackson'],music
868,wemo plug socket off,iot_wemo_off,['device_type : wemo plug socket'],wemo_off
5285,show news of migration,news_query,['news_topic : migration'],query
66,please play yesterday from beatles,play_music,"['song_name : yesterday', 'artist_name : beatles']",music
