id,query,intent,slots,domain,action
4539,i did not want you to send that text yet wait until i say send,email_sendemail,['setting:save'],email,sendemail
16743,send the following email to my sister,email_sendemail,['to_relation : sister'],email,sendemail
9276,the radio should play only on nine hundred and ninety nine fm,play_radio,['radio_name : nine hundred and ninety nine fm'],radio,radio
14749,when was richard nixon born,qa_factoid,['content:when was richard nixon born'],qa,factoid
14463,find details about usa,qa_factoid,['content : usa'],qa,factoid
17027,let's email sandy,email_sendemail,['to_person : sandy'],email,sendemail
2828,pause the music,play_music,['player_setting:stop'],music,music
12690,how is the traffic on i twenty five,transport_traffic,['place_name : i twenty five'],transport,traffic
16174,send email to boss not feeling well taking a sick day,email_sendemail,"['to_relation : boss','content:not feeling well taking a sick day']",email,sendemail
13732,what's the closing price of apple,qa_stock,"['business_name : apple','descriptor:closing']",qa,stock
15720,tweet bad service related to out local haskell mcdonalds,social_post,"['media_type : tweet', 'content:bad service', 'business_name : haskell mcdonalds']",social,post
574,repeat same song for ten times,music_settings,"['player_setting : repeat', 'descriptor: ten times']",music,settings
13092,what is the definition of session,qa_definition,['definition_word : session'],qa,definition
12841,open lyft,transport_taxi,['app_name : lyft'],transport,taxi
12657,book a taxi to pick up shelley hennessey at gate four of the airport for the arrival of aa flight five thousand four hundred and thirty one at three hundred and twenty one on friday,transport_taxi,"['transport_type : taxi', 'person : shelley hennessey', 'place_name : gate four of the airport', 'time : three hundred and twenty one', 'date : friday']",transport,taxi
14890,whats that object about,general_quirky,['content:whats that object about'],qa,quirky
878,food order from grub hub,takeaway_order,['app_name : grubhub'],takeaway,order
2977,change your colors to something different,iot_hue_lightcolor,[],iot,hue_lightcolor
10839,now what,general_quirky,['content:now what'],qa,quirky
5712,will this morning stay sunny,weather_query,"['timeofday : morning', 'weather_descriptor : stay sunny']",weather,query
5945,remind my friend to get the assignment tomorrow,calendar_set,"['event_name:get the assignment','relation:friend']",calendar,set
3653,tell me the time in london england,datetime_query,['place_name : london england'],datetime,query
16281,please send an email to toms principal in regards to the meeting we have tomorrow,email_sendemail,"['to_person : toms principal', 'content : the meeting we have tomorrow']",email,sendemail
15675,"this may brings given of these proble,s to us",general_quirky,"['content:this may brings given of these proble,s to us']",qa,quirky
7825,please schedule a hair cutting appointment for one pm on saturday,calendar_set,"['event_name : hair cutting appointment', 'time : one pm', 'date : saturday']",calendar,set
8718,make appointment for next friday,calendar_set,"['event_name : appointment', 'date : next friday']",calendar,set
1665,what is so clean news for the last six hours,news_query,"['media_type : so clean', 'time : last six hours']",news,query
4590,add a new notifier for the gps on my car,calendar_set,['content:the gps on my car'],calendar,query
4639,what is the current news today,news_query,['date : today'],news,query
7298,please feed that i have meeting at five pm,calendar_set,"['event_name : meeting', 'time : five pm']",calendar,set
14447,what is the average per capita income between asia and europe people,qa_factoid,['content:the average per capita income between asia and europe people'],qa,factoid
5598,when i will get the delivery,takeaway_query,['order_type : delivery'],takeaway,query
11910,olly tell me about some cool events going on here,recommendation_events,['descriptor:cool'],recommendation,events
2195,set an alarm,alarm_set,[],alarm,set
3112,turn off the sound,audio_volume_mute,[],iot,volume_mute
14572,what is the lowest microsoft stock price today,qa_stock,"['business_name : microsoft', 'date : today']",qa,stock
2186,i need you to turn off the light of my bed room,iot_hue_lightoff,['house_place : bed room'],iot,hue_lightoff
4534,what are the headlines from the la times,news_query,['media_type : la times'],news,query
13477,i just want to be you friend,general_quirky,['content:i just want to be you friend'],qa,quirky
11167,add milk to my shopping list,lists_createoradd,"['list_name : shopping','item_name:milk']",lists,createoradd
1022,in classic all music are there ever any singers,general_quirky,['content:in classic all music are there ever any singers'],qa,quirky
13214,what is the animal with a duck bill and a beavers tail,general_quirky,['content:what is the animal with a duck bill and a beavers tail'],qa,quirky
4226,turn on my playlist of country music,play_music,['playlist_name : country'],music,music
14099,what causes if i had junk food and alcohols,general_quirky,['content:what causes if i had junk food and alcohols'],qa,quirky
3963,are there any alarms for today,alarm_query,['date : today'],alarm,query
894,turn off the alarm for tomorrow morning,alarm_remove,"['date : tomorrow', 'timeofday : morning']",alarm,remove
14691,intel company stock price,qa_stock,['business_name : intel'],qa,stock
13109,please schedule a meeting with my secretary,calendar_set,"['event_name : meeting', 'relation : secretary']",calendar,set
14931,will a two thousand and fifteen fiesta be worth anything in three years,general_quirky,['content:will a two thousand and fifteen fiesta be worth anything in three years'],qa,quirky
3316,find the latest article from chris hedges on truthdig,social_query,"['person : chris hedges', 'media_type : truthdig','descriptor:latest']",social,query
893,play music now,play_music,[],music,music
10908,olly what's on my lists,lists_query,[],lists,query
12344,check time of kalka train from jodhpur station on monday,transport_query,"['transport_name : kalka', 'transport_type : train', 'from_place_name : jodhpur station', 'date : monday']",transport,query
7624,remind me to pay the electricity bill on this weekend at nine am,calendar_set,"['event_name : pay the electricity bill', 'time : this weekend', 'time : nine am']",calendar,set
9933,find a recipe for a romantic dinner for two,cooking_recipe,['descriptor: romantic dinner for two'],cooking,recipe
7479,show me all meeting reminder,calendar_query,['event_name : meeting'],calendar,query
17016,i want a reply to the email,email_sendemail,[],email,sendemail
655,how is the current weather in california,weather_query,['place_name : california'],weather,query
10569,remove the bank transaction list,lists_remove,['list_name : bank transaction'],lists,remove
3622,tell me the top stories on cnn,news_query,['media_type : cnn'],news,query
5606,clean the carpets,iot_cleaning,['house_place : carpets'],iot,cleaning
1681,the music volume should increase to ninety,audio_volume_other,['change_to : ninety'],iot,volume_up
8210,do i have any off days this week,calendar_query,"['date : this week','event_name:off days']",calendar,query
12815,give me directions to my nearest bank location,transport_query,"['business_type : bank','descriptor:nearest']",transport,query
14554,list stock price for this company stock,qa_stock,[],qa,stock
16665,any new emails in my inbox,email_query,"['email_folder : inbox','descriptor:new']",email,query
5246,notify me of breaking news on cnn,news_subscription,['media_type : cnn'],news,subscription
11392,move forward to the next episode,play_podcasts,['podcast_descriptor : next episode'],podcasts,podcasts
16522,please create a new contact information about jo,email_addcontact,['person : jo'],email,addcontact
6553,whats happening in pop industry,news_query,['news_topic : pop industry'],news,query
17146,anything new,email_query,['descriptor:new'],email,query
5018,i want hot coffee,iot_coffee,['coffee_type : hot'],iot,coffee
5962,any fast food meal offers,takeaway_order,['food_type : fast food'],takeaway,order
6706,does artificial intelligence have consciousness,general_quirky,['content:does artificial intelligence have consciousness'],qa,quirky
4370,raise volume to level seven on music player,audio_volume_other,"['change_to : level seven', 'device_type : music player']",iot,volume_up
6150,find jazz music on my playlist,play_music,['playlist_name : jazz'],music,music
8563,delete my appointment for tomorrow at three pm,calendar_remove,"['event_name : appointment', 'date : tomorrow', 'time : three pm']",calendar,remove
12920,hey what time does the four train leave the station,transport_query,"['transport_type : train','transport_name:four']",transport,query
8113,please put mary's birthday party on the twenty second at seven pm,calendar_set,"['person : mary', 'event_name : birthday party', 'date : twenty second', 'time : seven pm']",calendar,set
9910,i want to start war and peace where i left off,play_audiobook,"['player_setting : resume', 'audiobook_name : war and peace']",audiobook,audiobook
13321,how many sides are on a pentagon,qa_factoid,['content:how many sides are on a pentagon'],qa,factoid
7572,remind me when i reach,calendar_set,[],calendar,set
267,it's awfully dark here,iot_hue_lighton,[],iot,hue_lighton
16905,send an email to my family telling them about my upcoming birthday plans,email_sendemail,"['to_relation : family', 'content:my upcoming birthday plans']",email,sendemail
9161,do i have an appointment for january the third,calendar_query,['date : january the third'],calendar,query
14649,how to cook,cooking_recipe,[],cooking,recipe
5484,is it too hot for pants,weather_query,['weather_descriptor : too hot for pants'],weather,query
9607,play this programmes in this pad's,play_radio,['device_type: pad'],radio,radio
16403,new email recipient donna do you have plans for today,email_sendemail,"['to_person : donna', 'content:do you have plans for today']",email,sendemail
1926,initiate to operate robot vacuum cleaner,iot_cleaning,['device_type : robot vacuum cleaner'],iot,cleaning
4571,the wemo plug should be turned off on,iot_wemo_off,['device_type : wemo plug'],iot,wemo_off
13541,start the laundry,iot_wemo_on,['device_type:laundry'],iot,wemo_on
7214,attitude,general_quirky,['content:attitude'],qa,quirky
16536,send an email to my supervisor,email_sendemail,['to_relation : supervisor'],email,sendemail
14066,how tall is madonna,qa_factoid,['content:how tall is madonna'],qa,factoid
9336,play hot ninety seven,play_radio,['radio_name : hot ninety seven'],radio,radio
7408,set an event happy birthday john to repeat on twenty one january two thousand and seventeen,calendar_set,"['event_name : happy birthday', 'person : john', 'date : twenty one january two thousand and seventeen','setting:repeat']",calendar,set
14632,what is the purpose of life,general_quirky,['content: the purpose of life'],qa,quirky
1944,shift the light off,iot_hue_lightoff,[],iot,hue_lightoff
14052,what is immigrant,qa_definition,['definition_word : immigrant'],qa,definition
8423,set up an event recurring throughout the month,calendar_set,"['setting:repeat','date:the month']",calendar,set
6021,what's the latest joke,general_joke,['joke_type : latest'],qa,joke
14899,is starbucks stock up or down from last quarter,qa_stock,"['business_name : starbucks','date: from last quarter']",qa,stock
2815,turn the living room lights to one percent,iot_hue_lightchange,"['house_place : living room', 'change_to : one percent']",iot,hue_lightchange
596,can you turn on the hit song of lady gaga,play_music,"['descriptor : hit song', 'artist_name : lady gaga']",music,music
4901,turn down media volume,audio_volume_down,[],iot,volume_down
5024,make the room blue,iot_hue_lightcolor,"['house_place : room', 'color_type : blue']",iot,hue_lightcolor
11278,get me the latest episode of the friends podcast,play_podcasts,['podcast_name : friends'],podcasts,podcasts
3958,how many hours ahead is nyc,datetime_query,['place_name : nyc'],datetime,query
6002,go and make me a coffee,iot_coffee,[],iot,coffee
10402,play football match for myself now,play_game,['game_name : football match'],game,game
7434,remove the next event on my calendar,calendar_remove,['descriptor:next'],calendar,remove
3853,sound off please,audio_volume_mute,[],iot,volume_mute
4467,at what time is my alarm set,alarm_query,[],alarm,query
12083,find the events,recommendation_events,[],recommendation,events
7438,i would like to know my next schedule details,calendar_query,['descriptor:next'],calendar,query
2700,play rock music,play_music,['music_genre : rock'],music,music
3552,please play workout playlist,play_music,['playlist_name : workout playlist'],music,music
10847,remove a list please,lists_remove,[],lists,remove
1713,download and save song of dangal movie,music_likeness,['descriptor : dangal movie'],music,likeness
14446,which continent has highest growth of cotton and what is average production,qa_factoid,['content:which continent has highest growth of cotton and what is average production'],qa,factoid
9789,resume the last played audiobook,play_audiobook,['player_setting : resume'],audiobook,audiobook
3480,play best hits from given artist,play_music,"['descriptor:best hits','descriptor:given artist']",music,music
5689,let me see the latest in the news,news_query,[],news,query
12928,calculate the travel time if i go to orlando by train,transport_query,"['to_place_name : orlando','transport_type:train']",transport,query
6879,what time is my meeting on thursday,calendar_query,"['event_name : meeting', 'date : thursday']",calendar,query
1869,what date is today,datetime_query,['date : today'],datetime,query
15479,did you resolve,general_quirky,['content:did you resolve'],qa,quirky
10814,add grocery shopping to my to do list,lists_createoradd,"['list_name : to do','item_name:grocery shopping']",lists,createoradd
7521,tell me every day to take green tea at four pm,alarm_set,"['general_frequency : every day', 'event_name : green tea', 'time : four pm']",alarm,set
5110,start playing thinking out loud now,play_music,['song_name : thinking out loud'],music,music
1366,move the volume up a little,audio_volume_up,[],iot,volume_up
4246,olly change all lights to blue,iot_hue_lightcolor,['color_type : blue'],iot,hue_lightcolor
12502,is traffic heavy on route eighty today,transport_traffic,"['place_name : route eighty', 'date : today']",transport,traffic
3596,how is everything,general_greet,['content:how is everything'],qa,greet
16106,select the contact,email_querycontact,[],email,querycontact
12234,book a business class seat on the next train to new york city,transport_ticket,"['descriptor : business class', 'transport_type : train', 'to_place_name : new york']",transport,ticket
15365,send a complaint to sony about this tv that quit working,social_post,"['business_name : sony','content:this tv that quit working']",social,post
1455,weather,weather_query,[],weather,query
1656,show me all scheduled alarms,alarm_query,['descriptor:all'],alarm,query
7577,repeat alarm,alarm_set,['setting:repeat'],alarm,set
13376,if you put a velociraptor and a hippo together what would happen,general_quirky,['content:if you put a velociraptor and a hippo together what would happen'],qa,quirky
9181,delete my birthday reminder for next week,calendar_remove,"['event_name : birthday', 'date : next week']",calendar,remove
16967,search my emails with subject including work hours,email_query,['content:work hours'],email,query
9277,start radio and go to frequency on one thousand and forty eight,play_radio,['radio_name : one thousand and forty eight'],radio,radio
16900,have i received any emails from my mother,email_query,['from_relation : my mother'],email,query
15343,show me my husbands facebook posts today,social_query,"['relation : husbands', 'media_type : facebook', 'date : today']",social,query
13932,what is the stock price of amazon,qa_stock,['business_name : amazon'],qa,stock
4727,set notification for news on the stock market,news_subscription,['news_topic : stock market'],news,subscription
6384,how is your day going,general_quirky,['content:how is your day going'],qa,quirky
10009,recipe for meal,cooking_recipe,[],cooking,recipe
4471,answer email from,email_sendemail,[],email,sendemail
4663,please tell me the name of this band,music_query,[],music,query
3869,is the alarm to the backdoor set and ready to go,general_quirky,['content:is the alarm to the backdoor set and ready to go'],qa,quirky
7941,olly tell me what's going on tomorrow,calendar_query,['date : tomorrow'],calendar,query
1089,turn up the lights please,iot_hue_lightup,[],iot,hue_lightup
10306,play scabble with me,play_game,['game_name : scabble'],game,game
4005,raise living room lights half way,iot_hue_lightchange,"['house_place : living room','change_to:half']",iot,hue_lightchange
12060,i wish to go for cheap shopping is there any dollars shop nearby,recommendation_locations,"['business_type : dollars shop','place_name:nearby']",recommendation,locations
15811,olly let me know if i get a message about the party from jane,email_query,"['content : party', 'from_person : jane']",email,query
753,don't speak for a while,audio_volume_mute,[],iot,volume_mute
2519,i want to turn on the robot vacuum cleaner,iot_cleaning,['device_type : robot vacuum cleaner'],iot,cleaning
5395,socket off,iot_wemo_off,[],iot,wemo_off
3075,mute the sound,audio_volume_mute,[],iot,volume_mute
4940,can i get the current time,datetime_query,[],datetime,query
15232,listening song of arijit singh post it on my facebook account,social_post,"['content:listening song of arijit singh', 'media_type : facebook']",social,post
12942,explain it to me,general_quirky,['content:explain it to me'],qa,quirky
7153,is my calendar free for four pm today,calendar_query,"['time : four pm', 'date : today']",calendar,query
8849,is there a birthday party today,calendar_query,"['event_name : birthday party', 'date : today']",calendar,query
14167,rowan atkinson info,qa_factoid,['content : rowan atkinson'],qa,factoid
7704,hey turn on your reminders for tomorrow's meeting at ten am,calendar_set,"['date : tomorrow', 'time : ten am']",calendar,set
1395,how much in the clock,datetime_query,[],datetime,query
8793,check calendar,calendar_query,[],calendar,query
6838,remind me about mike's birthdays,calendar_set,"[""event_name : mike's birthdays""]",calendar,set
6463,i want topics on celebrity gossip,news_query,['news_topic : celebrity gossip'],news,query
10671,remove the list of apps which started with letter a,lists_remove,['list_name:apps'],lists,remove
6518,work sucked today,general_quirky,['content:work sucked today'],qa,quirky
8071,is the twenty second a tuesday,datetime_query,['date : twenty second'],datetime,query
9093,clear all events in calendar for march,calendar_remove,['date : march'],calendar,remove
3143,this is a five star song,music_likeness,[],music,likeness
2475,play music that are classical only,play_music,['music_genre : classical'],music,music
15730,tell me if anything important is happening on social media today,social_query,['date : today'],social,query
9131,tell me what my next events are,calendar_query,['descriptor:next'],calendar,query
1659,go near vacuum cleaner,general_quirky,['content:go near vacuum cleaner'],qa,quirky
10953,eliminate the list kickball but make sure the contacts remain,lists_remove,['list_name : kickball'],lists,remove
10010,how can i cook meal,cooking_recipe,[],cooking,recipe
16369,any new emails from derek,email_query,"['from_person : derek','descriptor:new']",email,query
14310,what makes something head cheese,general_quirky,['content:what makes something head cheese'],qa,quirky
16136,check email and what is the latest subject,email_query,['descriptor:latest'],email,query
13257,where to buy cannon cameras,recommendation_locations,['business_type:cannon cameras'],recommendation,locations
16740,what emails have i gotten since last night,email_query,['date : from last night'],email,query
10649,add wine to list,lists_createoradd,['item_name:wine'],lists,createoradd
15165,post my business on all my social media sites,social_post,['content:my business'],social,post
8080,do i have any appointments tomorrow,calendar_query,"['event_name : appointments', 'date : tomorrow']",calendar,query
8348,tell me what's happening next thursday,calendar_query,['date : next thursday'],calendar,query
8231,delete appointment at time,calendar_remove,['event_name : appointment'],calendar,remove
3866,can you get me news from ny times,news_query,['media_type : ny times'],news,query
2948,please save the current song to favorites,music_likeness,[],music,likeness
15424,what's the most popular story on my facebook newsfeed,social_query,['media_type : facebook'],social,query
5803,more light,iot_hue_lightup,[],iot,hue_lightup
12678,are there any trips to location a provided by the train,transport_query,['transport_type : train'],transport,query
9122,can you add my business meeting to the work calendar,calendar_set,['event_name : business meeting'],calendar,set
2535,open spotify and play list five,play_music,"['app_name : spotify', 'playlist_name : list five']",music,music
16412,pull up all emails sent to me from amazon,email_query,['from_person : amazon'],email,query
5947,let me hear my number one favorite play list,play_music,['playlist_name:number one favorite play list'],music,music
11049,can i have my list,lists_query,[],lists,query
1035,play me the latest song of adele,play_music,"['artist_name : adele','descriptor:latest']",music,music
6853,go to the next event in the calendar and delete it,calendar_remove,['descriptor:next'],calendar,remove
14785,what is the distance to the moon,qa_factoid,['content : the distance to the moon'],qa,factoid
75,who's current music's author,music_query,[],music,query
17086,reply to this please,email_sendemail,['setting:reply'],email,sendemail
11996,please give me all shop names in a two mile radius,recommendation_locations,"['business_type : shop','descriptor:two mile radius']",recommendation,locations
2586,save this channel on pandora please,play_radio,"['player_setting:save', 'app_name : pandora']",radio,radio
2067,did anyone win the powerball lottery yesterday,news_query,"['news_topic : win the powerball lottery', 'date : yesterday']",news,query
4801,what's the current temperature outside,weather_query,['weather_descriptor : temperature'],weather,query
12925,hey what time does the next train depart,transport_query,['transport_type : train'],transport,query
4469,will i need a jacket today,weather_query,"['weather_descriptor : jacket', 'date : today']",weather,query
17117,are there any recent emails,email_query,[],email,query
1918,what is the weather for the next seven days,weather_query,['time : next seven days'],weather,query
16596,i need to check today's email of jack,email_query,"['date : today', 'person : jack']",email,query
1936,is it raining in boston,weather_query,"['weather_descriptor : raining', 'place_name : boston']",weather,query
7650,set notification before this event,calendar_set,[],calendar,set
8702,add event for date and time with these people,calendar_set,[],calendar,set
16675,email joejoe@gmail dot com,email_sendemail,['email_address : joejoe@gmail dot com'],email,sendemail
14725,describe headset,qa_definition,['definition_word : headset'],qa,definition
12362,i'll be going to my office,general_quirky,['content:i'll be going to my office'],qa,quirky
11816,where can i shop as a local tourist olly,recommendation_locations,"['business_type:shop','descriptor:local tourist']",recommendation,locations
14629,geography melbourne,qa_factoid,['content : geography melbourne'],qa,factoid
5485,how many hours remaining to reach midnight in city,datetime_query,[],datetime,query
8881,schedule an alarm for next week's dentist appointment,alarm_set,"['date : next week', 'event_name : dentist appointment']",alarm,set
1298,olly louder,audio_volume_up,[],iot,volume_up
14002,honda stock price,qa_stock,['business_name : honda'],qa,stock
4264,how many jokes do you know,general_joke,[],qa,joke
2926,yo order take out from jason's deli on sixth ave,takeaway_order,"[""business_name : jason's deli"", 'place_name : sixth ave']",takeaway,order
6348,recap my day,general_quirky,['content:recap my day'],qa,quirky
3409,what is going on with blank,news_query,['news_topic : blank'],news,query
11758,what is this event is called which happening my area,recommendation_events,[],recommendation,events
11809,can you recommend good stores in this area,recommendation_locations,"['business_type : stores', 'place_name : this area']",recommendation,locations
11054,google i need you to delete the current list,lists_remove,['descriptor:current'],lists,remove
3391,remember that i do not like this music,music_dislikeness,[],music,dislikeness
5800,will i need a jacket after ten pm in my area,weather_query,"['weather_descriptor : jacket', 'time : ten pm','place_name:my area']",weather,query
4987,cup of coffee please,iot_coffee,[],iot,coffee
1364,keep the socket in off condition,iot_wemo_off,[],iot,wemo_off
2418,put the current song on repeat,music_settings,['player_setting : repeat'],music,settings
6659,hi i will need my coffee brewed at seven am today,iot_coffee,"['time : seven am', 'date : today']",iot,coffee
4265,what is todays weather forecast,weather_query,['date : today'],weather,query
17160,save my contacts,email_addcontact,[],email,addcontact
15685,send a tweet to the local wawa that their service is terrible at their market st location,social_post,"['media_type : tweet', 'business_name : local wawa','content:their service is terrible at their market st location']",social,post
12321,olly call a taxi,transport_taxi,['transport_type : taxi'],transport,taxi
6007,should i close the window before i leave this afternoon,weather_query,"['weather_descriptor : close the window', 'time : before i leave','timeofday: this afternoon']",weather,query
4959,play all third day,play_music,['artist_name : third day'],music,music
6258,hi how was your day today,general_quirky,['content:hi how was your day today'],qa,quirky
3847,what are my favorite types of music,music_query,['descriptor:favorite type'],music,query
5425,start up a bjork album for me,play_music,['artist_name : bjork'],music,music
7958,add valia's wedding the next saturday at eight o clock,calendar_set,"['person:valia','event_name : wedding', 'date : saturday', 'time : eight o clock']",calendar,set
7124,set the event to recur every week,calendar_set,['general_frequency : every week'],calendar,set
1419,more light please,iot_hue_lightup,[],iot,hue_lightup
10431,take eggs off the list,lists_remove,['item_name:eggs'],lists,remove
3918,i want to listen to the beatles greatest hits,play_music,"['artist_name : beatles','descriptor:greatest hits']",music,music
7543,clear all events from my calendar for next week,calendar_remove,['date : next week'],calendar,remove
16678,hey can you check my email and see if there are any new messages,email_query,['descriptor:new'],email,query
1520,increase the volume to fifty,audio_volume_other,['change_to : fifty'],iot,volume_up
7332,text your lost android phone to turn the ringer volume up one percent,phone_text,"['device_type:android phone','text:turn the ringer volume up one percent']",phone,text
5819,play some blues by atif aslam,play_music,"['music_genre : blues', 'artist_name : atif aslam']",music,music
867,turn off smart socket,iot_wemo_off,['device_type : smart socket'],iot,wemo_off
3392,remember that this is my favorite music,music_likeness,[],music,likeness
627,play the last hit song of metallica last album please,play_music,"['descriptor : last hit', 'artist_name : metallica']",music,music
11311,play the next episode,play_podcasts,['podcast_descriptor : next episode'],podcasts,podcasts
3023,turn on socket,iot_wemo_on,[],iot,wemo_on
8831,clear all data from calendar,calendar_remove,['descriptor:all'],calendar,remove
5874,should i wear a coat to the pool,weather_query,"['weather_descriptor : coat', 'place_name : pool']",weather,query
11823,name stores within ten mile radius with music,recommendation_locations,"['business_type: music stores','descriptor:ten mile radius']",recommendation,locations
12749,can you please buy me a train ticket,transport_ticket,['transport_type : train'],transport,ticket
15283,any new facebook posts from amy,social_query,"['media_type : facebook', 'person : amy']",social,query
15674,this product never use,general_quirky,['content:this product never use'],qa,quirky
14294,explain the exchange rate of rupee for dollar,qa_currency,"['currency_name : rupee', 'currency_name2 : dollar']",qa,currency
5646,switch off kitchen lights,iot_hue_lightoff,['house_place : kitchen'],iot,hue_lightoff
9298,please start fm eight hundred and ninety radio channel,play_radio,['radio_name : fm eight hundred and ninety'],radio,radio
12471,buy train ticket,transport_ticket,['transport_type : train'],transport,ticket
10064,how many vegetables should i eat a day,general_quirky,['content : how many vegetables should i eat a day'],qa,quirky
12744,can you find me a train ticket to southampton on memorial day weekend,transport_query,"['transport_type : train', 'to_place_name : southampton', 'date : memorial day weekend']",transport,query
7297,take my calendar and clear it,calendar_remove,[],calendar,remove
10006,how to cook rice,cooking_recipe,['food_type : rice'],cooking,recipe
9147,i want to remove the wedding function on saturday,calendar_remove,"['event_name : wedding function', 'date : saturday']",calendar,remove
3577,i would like to know the latest from nbc news,news_query,['media_type : nbc news'],news,query
2281,change my house lights colour to blue,iot_hue_lightcolor,['color_type : blue'],iot,hue_lightcolor
7206,note down important event in this week,calendar_set,['date : this week'],calendar,set
14740,how the eiffel tower looks like,qa_factoid,['content:how the eiffel tower looks like'],qa,factoid
13196,where is channing tatum from,qa_factoid,['content:where is channing tatum from'],qa,factoid
6270,ask me easy questions about a subject i know and tell me when i'm wrong,general_quirky,['content:ask me easy questions about a subject i know and tell me when i'm wrong'],qa,quirky
602,set alarm to begin,alarm_set,[],alarm,set
3119,what is the time in the midwest right now,datetime_query,['time_zone : midwest'],datetime,query
3760,i need a six am wakeup call,alarm_set,['time : six am'],alarm,set
6943,set a calendar event,calendar_set,[],calendar,set
13809,how old is david bowie,qa_factoid,['content:how old is david bowie'],qa,factoid
4037,sandle,general_quirky,['content:sandle'],qa,quirky
11403,please play the next episode in the podcast,play_podcasts,['podcast_descriptor : next episode'],podcasts,podcasts
5313,please put radio in shuffle,play_radio,['player_setting : shuffle'],radio,radio
15641,tweet a complain about my shoe color on flipkart,social_post,"['media_type : tweet','content: my shoe color on flipkart']",social,post
2204,tell me a joke about birds,general_joke,['joke_type : birds'],qa,joke
16855,jane doe emails,email_query,['person : jane doe'],email,query
4367,what is the current time in london,datetime_query,['place_name : london'],datetime,query
233,set an alarm for four in the afternoon,alarm_set,"['time : four', 'timeofday : afternoon']",alarm,set
9073,remove that event from calendar,calendar_remove,['descriptor:that event'],calendar,remove
7901,what have i got going on between three and four pm today,calendar_query,"['time : three', 'time2: four pm']",calendar,query
11059,name the lists available,lists_query,[],lists,query
13364,when is president's day,qa_factoid,"[""content:president's day""]",qa,factoid
915,turn the lights off to my room,iot_hue_lightoff,['house_place : my room'],iot,hue_lightoff
6664,hi what are you doing,general_quirky,['content:hi what are you doing'],qa,quirky
5222,tell me the latest news about donald trump,news_query,['news_topic : donald trump'],news,query
7719,hey schedule a meeting with mr ross for this friday noon,calendar_set,"['event_name : meeting', 'person : mr ross', 'date : this friday', 'timeofday : noon']",calendar,set
607,set mute for twenty minutes,audio_volume_mute,['time : twenty minutes'],iot,volume_mute
